Name,Publications,Total citations,Median citations,h-index,h-frac-index,hm-index,h-leadership-index,% first author,% last author,% single author,Median author position,cscore,i10-index,Average number of Authors,Median number of Authors
"Yang, Ming Hsuan",100,63005,375.5,100,94,0,100,0.0,100.0,0.0,2.0,4.529720429871332,100,2.0,2.0
"Yan, Shuicheng",100,41742,242.0,100,66,0,100,0.0,100.0,0.0,3.0,3.92008839604375,100,3.0,3.0
"Li, Xuelong",100,28990,222.0,100,48,0,99,0.0,0.0,0.0,3.0,4.26952028078949,100,5.0,5.0
"Zhang, David",100,37411,217.5,100,76,0,100,0.0,100.0,0.0,2.0,4.036813037137652,100,2.0,2.0
"Schölkopf, Bernhard",100,71688,306.0,100,84,0,100,100.0,0.0,0.0,1.0,4.62446400995841,100,2.0,2.0
"Akyildiz, Ian F.",100,73742,255.0,100,100,0,100,100.0,100.0,100.0,1.0,4.678997737920226,100,1.0,1.0
"Heath, Robert W.",100,40193,224.0,100,79,0,100,0.0,100.0,0.0,2.0,4.323775944962212,100,2.0,2.0
"Acharya, U. Rajendra",100,32160,220.5,100,100,0,100,100.0,100.0,100.0,1.0,4.016130608234705,100,1.0,1.0
"Müller, Klaus Robert",100,59435,365.0,100,89,0,100,0.0,100.0,0.0,2.0,4.062212465961411,100,2.0,2.0
"Tang, Xiaoou",100,74776,327.0,100,83,0,100,100.0,0.0,0.0,1.0,4.44882751876377,100,2.0,2.0
"Schmid, Cordelia",100,72784,312.5,100,71,0,100,0.0,100.0,0.0,3.0,4.451285434788512,100,3.0,3.0
"Vaidyanathan, Sundarapandian",100,15932,148.5,100,40,0,100,0.0,0.0,0.0,3.0,4.802733362422657,100,4.0,4.0
"Shenker, Scott",100,50975,262.5,100,68,0,100,100.0,0.0,0.0,1.0,4.392035290266007,100,3.0,3.0
"Cui, Tie Jun",100,28639,194.0,100,76,0,100,100.0,0.0,0.0,1.0,4.407273687705583,100,2.0,2.0
"Shen, Dinggang",100,28687,205.0,100,79,0,100,100.0,0.0,0.0,1.0,4.351749988901211,100,2.0,2.0
"Kanade, T.",100,48873,226.0,100,73,0,100,0.0,100.0,0.0,2.0,4.46248300261334,100,2.0,2.0
"Hinton, Geoffrey",100,338187,405.5,100,100,0,100,100.0,100.0,100.0,1.0,5.168924945044169,100,1.0,1.0
"Tong, Shaocheng",100,28210,237.5,100,81,0,100,100.0,0.0,0.0,1.0,4.441248934072159,100,2.0,2.0
"Koller, Daphne",100,41304,188.0,100,39,0,99,0.0,0.0,0.0,4.0,4.033195120168538,100,6.0,6.0
"Han, Zhu",100,27338,185.0,100,75,0,100,100.0,0.0,0.0,1.0,3.948869525488195,100,2.0,2.0
"Stoica, Ion",100,49296,203.0,100,58,0,100,0.0,0.0,0.0,2.0,4.169214959801987,100,3.0,3.0
"Darrell, Trevor",100,113279,295.5,100,84,0,100,100.0,0.0,0.0,1.0,4.15192604996561,100,2.0,2.0
"Manning, Christopher D.",100,87887,277.5,100,100,0,100,100.0,100.0,100.0,1.0,4.535376885808051,100,1.0,1.0
"Zhou, Mengchu",100,19978,178.5,100,71,0,100,100.0,0.0,0.0,1.0,4.231000176515583,100,2.0,2.0
"Leskovec, Jure",100,68965,388.5,100,88,0,100,100.0,0.0,0.0,1.0,4.422945979401073,100,2.0,2.0
"Faloutsos, Christos",100,35463,216.0,100,35,0,97,0.0,0.0,0.0,4.0,4.424034707055129,100,8.0,8.0
"Ng, Andrew Y.",100,96244,326.5,100,61,0,99,0.0,0.0,0.0,3.0,4.553000112823318,100,4.0,4.0
"Chellappa, Rama",100,34671,190.5,100,71,0,100,0.0,100.0,0.0,2.0,4.145079170770359,100,2.0,2.0
"Herrera-Viedma, Enrique",100,32912,237.0,100,62,0,100,0.0,0.0,0.0,2.0,4.274098791356369,100,3.0,3.0
"Schiele, Bernt",100,44703,245.0,100,77,0,100,100.0,0.0,0.0,1.0,3.997556460449441,100,2.0,2.0
"Yager, Ronald R.",100,42708,197.5,99,1,0,1,100.0,0.0,0.0,1.0,5.054209755502107,100,2.0,2.0
"Baldi, Pierre",100,28480,196.0,100,0,0,0,0.0,0.0,0.0,,4.305845769518903,100,,
"Pentland, Alex Sandy",100,57107,220.0,99,0,0,0,0.0,0.0,0.0,,4.761621673793579,100,,
"Poggio, Tomaso",100,49751,253.0,100,0,0,0,0.0,0.0,0.0,,4.385008312275088,100,,
"Zhou, Zhi Hua",100,44543,194.5,100,0,0,0,0.0,0.0,0.0,,4.708399346651255,100,,
"Niyato, Dusit",100,31061,190.0,100,0,0,0,0.0,0.0,0.0,,4.081227769847925,100,,
"Guibas, Leonidas",100,48765,205.5,100,0,0,0,0.0,0.0,0.0,,4.274366778999762,100,,
"Davis, Larry S.",100,35089,218.5,100,0,0,0,0.0,0.0,0.0,,4.216101235776612,100,,
"Freeman, William T.",100,45484,252.0,100,0,0,0,0.0,0.0,0.0,,4.316487682273376,100,,
"Yao, Xin",100,8466,66.5,61,0,0,0,0.0,0.0,0.0,,4.641938821843945,100,,
"Pedrycz, Witold",100,24522,160.5,100,0,0,0,0.0,0.0,0.0,,4.771941435932644,100,,
"Bovik, Alan C.",100,93593,227.0,100,0,0,0,0.0,0.0,0.0,,4.574162273591538,100,,
"Foster, Ian T.",100,37857,187.5,97,0,0,0,0.0,0.0,0.0,,4.614108417929813,100,,
"Shah, Mubarak",100,36487,219.5,100,0,0,0,0.0,0.0,0.0,,3.971161433935268,100,,
"Torralba, Antonio",100,62338,246.0,100,0,0,0,0.0,0.0,0.0,,4.501279995003392,100,,
"Suganthan, P. N.",100,37320,196.0,99,0,0,0,0.0,0.0,0.0,,4.31340157191124,100,,
"Towsley, Don",100,25267,173.5,96,0,0,0,0.0,0.0,0.0,,4.092618313656621,100,,
"Hanzo, Lajos",100,28259,192.0,100,0,0,0,0.0,0.0,0.0,,4.200137489201982,100,,
"Leung, Victor C.M.",100,21834,155.5,99,0,0,0,0.0,0.0,0.0,,3.879854884609169,100,,
"Black, Michael J.",100,37175,237.5,100,0,0,0,0.0,0.0,0.0,,4.268343320343648,100,,
"Tan, Tieniu",100,29040,213.0,98,0,0,0,0.0,0.0,0.0,,4.192494969259647,100,,
"Boneh, Dan",100,44716,200.5,97,0,0,0,0.0,0.0,0.0,,4.631862900659259,100,,
"Garcia-Molina, Hector",100,25372,170.5,93,0,0,0,0.0,0.0,0.0,,4.302654572552435,100,,
"Alouini, Mohamed Slim",100,34901,176.0,100,0,0,0,0.0,0.0,0.0,,4.434406290940588,100,,
"Fei-Fei, Li",100,87697,267.5,100,0,0,0,0.0,0.0,0.0,,3.947866696072245,100,,
"Li, Geoffrey Ye",100,32997,214.0,94,0,0,0,0.0,0.0,0.0,,4.440079032479102,100,,
"Smola, Alex",100,69659,233.5,92,0,0,0,0.0,0.0,0.0,,3.915033005248135,100,,
"Stoica, Petre",100,30878,162.0,93,0,0,0,0.0,0.0,0.0,,4.525868923443132,100,,
"Unser, Michael",100,30378,181.0,93,0,0,0,0.0,0.0,0.0,,4.653766193724064,100,,
"Szeliski, Rick",100,43345,198.5,91,0,0,0,0.0,0.0,0.0,,4.582269555928725,100,,
"Molisch, Andreas F.",100,31388,178.0,92,0,0,0,0.0,0.0,0.0,,4.400003980363214,100,,
"Roy, Kaushik",100,19523,140.0,95,0,0,0,0.0,0.0,0.0,,4.156579905694328,100,,
"Dubois, Didier",100,25077,151.5,92,0,0,0,0.0,0.0,0.0,,4.586025671116809,100,,
"Chen, C. L.Philip",100,24576,163.5,100,0,0,0,0.0,0.0,0.0,,4.269642695854712,100,,
"Debbah, Mérouane",100,35583,191.0,96,0,0,0,0.0,0.0,0.0,,3.9105626814876,100,,
"Estrin, Deborah",100,48713,220.5,91,0,0,0,0.0,0.0,0.0,,4.298303937553937,100,,
"Balakrishnan, Hari",100,55983,167.0,90,0,0,0,0.0,0.0,0.0,,3.98462153052102,100,,
"Chang, Shih Fu",100,26256,173.5,95,0,0,0,0.0,0.0,0.0,,4.247221384118233,100,,
"Ding, Zhiguo",100,30285,176.0,95,0,0,0,0.0,0.0,0.0,,4.14033086448998,100,,
"Benini, Luca",100,19123,133.0,90,0,0,0,0.0,0.0,0.0,,4.327801815013675,100,,
"Andrews, Jeffrey G.",100,39727,182.5,88,0,0,0,0.0,0.0,0.0,,4.521407858305872,100,,
"Gerla, Mario",100,24999,153.5,90,0,0,0,0.0,0.0,0.0,,4.293433139128596,100,,
"Torr, Philip H.S.",100,42135,179.0,94,0,0,0,0.0,0.0,0.0,,4.322878599404484,100,,
"Yuille, Alan L.",100,44099,219.0,100,0,0,0,0.0,0.0,0.0,,4.368567757695056,100,,
"Nayar, Shree",100,28271,162.5,88,0,0,0,0.0,0.0,0.0,,4.420146514018212,100,,
"Song, Dawn",100,35804,199.5,92,0,0,0,0.0,0.0,0.0,,4.243965032130879,100,,
"Culler, David",100,41266,213.0,88,0,0,0,0.0,0.0,0.0,,4.027559334986744,100,,
"Kleinberg, Jon",100,51658,218.5,90,0,0,0,0.0,0.0,0.0,,4.78408865156384,100,,
"Sapiro, Guillermo",100,40949,174.0,91,0,0,0,0.0,0.0,0.0,,4.24689546257876,100,,
"Van Der Vleuten, Cees",100,17470,123.5,91,0,0,0,0.0,0.0,0.0,,4.389470426179837,100,,
"Kumar, Neeraj",100,18453,155.0,100,0,0,0,0.0,0.0,0.0,,3.723210334869424,100,,
"Zhang, Hongjiang",100,29211,170.0,87,0,0,0,0.0,0.0,0.0,,3.938969953863574,100,,
"Papadimitriou, Christos",100,23410,149.5,89,0,0,0,0.0,0.0,0.0,,4.549054154272669,100,,
"LeCun, Yann",100,145657,279.0,91,0,0,0,0.0,0.0,0.0,,4.642877906279543,100,,
"Choo, Kim Kwang Raymond",100,18425,155.0,99,0,0,0,0.0,0.0,0.0,,4.234087005877666,100,,
"Seidel, Hans Peter",100,16335,126.0,90,0,0,0,0.0,0.0,0.0,,3.928593417526985,100,,
"Hossain, Ekram",100,20569,145.0,89,0,0,0,0.0,0.0,0.0,,3.986748243128594,100,,
"Chen, Shyi Ming",100,18171,136.0,92,0,0,0,0.0,0.0,0.0,,4.572284060537843,100,,
"Srivastava, Mani",100,27634,152.5,87,0,0,0,0.0,0.0,0.0,,3.886522662113905,100,,
"Rappaport, Theodore",100,34947,165.5,89,0,0,0,0.0,0.0,0.0,,4.38874957385314,100,,
"Nie, Feiping",100,21442,139.5,96,0,0,0,0.0,0.0,0.0,,3.730890213644964,100,,
"Jennings, Nicholas R.",100,28987,131.0,85,0,0,0,0.0,0.0,0.0,,4.552575384197159,100,,
"Baraniuk, Richard",100,36550,185.0,87,0,0,0,0.0,0.0,0.0,,4.604756172338424,100,,
"Liang, Ying Chang",100,27101,157.0,91,0,0,0,0.0,0.0,0.0,,4.093952063328369,100,,
"Cichocki, Andrzej",100,22042,143.0,89,0,0,0,0.0,0.0,0.0,,4.299177029793218,100,,
"Schober, Robert",100,25807,174.5,93,0,0,0,0.0,0.0,0.0,,3.635155715724526,100,,
"Schuller, Björn W.",100,24922,184.0,90,0,0,0,0.0,0.0,0.0,,4.302318247913094,100,,
"Pollefeys, Marc",100,20615,161.5,88,0,0,0,0.0,0.0,0.0,,3.890978831037478,100,,
"Cohen-Or, Daniel",100,21711,165.5,90,0,0,0,0.0,0.0,0.0,,3.949820238722147,100,,
"Li, Stan Z.",100,25454,158.5,91,0,0,0,0.0,0.0,0.0,,4.302240907237504,100,,
"Shen, Chunhua",100,33810,216.0,97,0,0,0,0.0,0.0,0.0,,3.498002159295424,100,,
"Ayache, Nicholas",100,23814,143.5,86,0,0,0,0.0,0.0,0.0,,4.029677035145657,100,,
"Donoho, David",100,98770,238.0,86,0,0,0,0.0,0.0,0.0,,5.078366131152069,100,,
"Huang, Tingwen",100,16227,127.5,92,0,0,0,0.0,0.0,0.0,,4.123280170969134,100,,
"Perona, Pietro",100,72070,184.0,86,0,0,0,0.0,0.0,0.0,,4.442672580503103,100,,
"Hebert, Martial",100,26109,150.5,86,0,0,0,0.0,0.0,0.0,,4.007367780590131,100,,
"Lyu, Michael R.",100,20845,135.0,89,0,0,0,0.0,0.0,0.0,,4.093578519918841,100,,
"Mutlu, Onur",100,19473,136.0,89,0,0,0,0.0,0.0,0.0,,4.071555025030987,100,,
"Fridrich, Jessica",100,27085,157.5,84,0,0,0,0.0,0.0,0.0,,4.548390109276697,100,,
"Chua, Tat Seng",100,31283,152.5,93,0,0,0,0.0,0.0,0.0,,3.845787278281505,100,,
"Zhang, Huaguang",100,19073,136.5,91,0,0,0,0.0,0.0,0.0,,3.856503404548527,100,,
"Theis, Fabian",100,30369,170.0,94,0,0,0,0.0,0.0,0.0,,3.943631869072928,100,,
"Deb, Kalyanmoy",100,77174,146.0,88,0,0,0,0.0,0.0,0.0,,4.897886516595563,100,,
"Guizani, Mohsen",100,27253,151.0,93,0,0,0,0.0,0.0,0.0,,3.76666872155646,100,,
"Shneiderman, Ben",100,23433,161.0,87,0,0,0,0.0,0.0,0.0,,4.661143376029164,100,,
"Shao, Ling",100,26060,166.5,97,0,0,0,0.0,0.0,0.0,,3.945675622567869,100,,
"Yu, Fei Richard",100,19103,142.5,88,0,0,0,0.0,0.0,0.0,,3.760719712905198,100,,
"Cambria, Erik",100,26884,166.0,91,0,0,0,0.0,0.0,0.0,,4.277079078422195,100,,
"Dwivedi, Yogesh K.",100,26770,178.5,100,0,0,0,0.0,0.0,0.0,,4.041279796720718,100,,
"Haas, Harald",100,28767,156.0,84,0,0,0,0.0,0.0,0.0,,4.189210266998394,100,,
"Fua, Pascal",100,34590,155.5,87,0,0,0,0.0,0.0,0.0,,4.179093492119414,100,,
"Henzinger, Thomas A.",100,22837,124.5,84,0,0,0,0.0,0.0,0.0,,4.44267610930317,100,,
"Eldar, Yonina C.",100,23890,153.0,90,0,0,0,0.0,0.0,0.0,,4.422408180321689,100,,
"Liu, Xiaohui",100,22451,163.5,86,0,0,0,0.0,0.0,0.0,,3.649813656135634,100,,
"Shin, Kang G.",100,17704,121.5,82,0,0,0,0.0,0.0,0.0,,4.112507847726772,100,,
"Prade, Henri",100,24274,149.5,84,0,0,0,0.0,0.0,0.0,,4.170600866705653,100,,
"Cohn, Jeffrey F.",100,24590,144.5,81,0,0,0,0.0,0.0,0.0,,4.071008837788263,100,,
"Liu, K. J.Ray",100,17659,120.5,82,0,0,0,0.0,0.0,0.0,,4.043097745252747,100,,
"Cremers, Daniel",100,30126,137.0,84,0,0,0,0.0,0.0,0.0,,4.214972838469299,100,,
"Rexford, Jennifer",100,19402,139.0,82,0,0,0,0.0,0.0,0.0,,3.906811574695988,100,,
"Metaxas, Dimitris N.",100,20100,139.0,83,0,0,0,0.0,0.0,0.0,,3.780206027629169,100,,
"Slater, Mel",100,25356,162.0,84,0,0,0,0.0,0.0,0.0,,4.376756742209289,100,,
"Win, Moe Z.",100,25452,123.0,81,0,0,0,0.0,0.0,0.0,,4.30934103093359,100,,
"Chen, Xiaohong",100,18387,128.5,86,0,0,0,0.0,0.0,0.0,,3.516344294563051,100,,
"Rebeiz, Gabriel",100,15053,109.5,82,0,0,0,0.0,0.0,0.0,,4.255638314881287,100,,
"Vetterli, Martin",100,30669,165.0,85,0,0,0,0.0,0.0,0.0,,4.391578822048302,100,,
"Goldsmith, Andrea",100,41655,121.5,79,0,0,0,0.0,0.0,0.0,,4.747233765895492,100,,
"Liu, Derong",100,16748,128.5,85,0,0,0,0.0,0.0,0.0,,4.118253579359766,100,,
"Levine, Sergey",100,32760,204.0,91,0,0,0,0.0,0.0,0.0,,3.834343792987203,100,,
"Wei, Guiwu",100,16328,130.0,86,0,0,0,0.0,0.0,0.0,,4.575676185291914,100,,
"Jia, Jiaya",100,41404,179.5,87,0,0,0,0.0,0.0,0.0,,4.096682322186139,100,,
"Stankovic, John",100,25460,132.0,83,0,0,0,0.0,0.0,0.0,,4.354453722739841,100,,
"Rodrigues, Joel J.P.C.",100,15442,125.0,92,0,0,0,0.0,0.0,0.0,,3.850952870883514,100,,
"Shum, Heung Yeung",100,21619,118.0,78,0,0,0,0.0,0.0,0.0,,3.686116756360202,100,,
"Li, Hongyi",100,20110,172.5,87,0,0,0,0.0,0.0,0.0,,3.687632038075974,100,,
"Bellare, Mihir",100,25740,143.0,78,0,0,0,0.0,0.0,0.0,,4.388967446157505,100,,
"Tzeng, Gwo Hshiung",100,23177,129.0,79,0,0,0,0.0,0.0,0.0,,4.118041552164547,100,,
"Jiao, Licheng",100,17054,119.0,86,0,0,0,0.0,0.0,0.0,,3.736721807747996,100,,
"Le, Quoc V.",100,79381,282.5,86,0,0,0,0.0,0.0,0.0,,4.336759516329748,100,,
"Ye, Jieping",100,18519,137.0,87,0,0,0,0.0,0.0,0.0,,4.239660121243617,100,,
"Pantic, Maja",100,24693,154.0,81,0,0,0,0.0,0.0,0.0,,4.108442268963477,100,,
"Abraham, Ajith",100,16955,116.0,82,0,0,0,0.0,0.0,0.0,,4.176830468240285,100,,
"Mukherjee, Biswanath",100,24123,114.0,77,0,0,0,0.0,0.0,0.0,,4.314028524038109,100,,
"Croft, W. Bruce",100,22110,138.0,79,0,0,0,0.0,0.0,0.0,,4.102161316333699,100,,
"Das, Sajal K.",100,13281,93.5,77,0,0,0,0.0,0.0,0.0,,3.873989691422486,100,,
"Bischof, Horst",100,24874,118.5,78,0,0,0,0.0,0.0,0.0,,3.566236722157659,100,,
"Picard, Rosalind W.",100,24234,150.5,80,0,0,0,0.0,0.0,0.0,,4.349204055275516,100,,
"Wang, Fei Yue",100,25112,145.5,91,0,0,0,0.0,0.0,0.0,,4.469219884978734,100,,
"Ney, Hermann",100,20743,120.0,77,0,0,0,0.0,0.0,0.0,,4.185133357284371,100,,
"Horowitz, Mark",100,19879,123.5,80,0,0,0,0.0,0.0,0.0,,4.161145167642855,100,,
"Yang, Xin She",100,47360,162.0,80,0,0,0,0.0,0.0,0.0,,4.820860498257191,100,,
"Castillo, Oscar",100,13185,115.5,80,0,0,0,0.0,0.0,0.0,,3.986757786152414,100,,
"Durand, Fredo",100,24243,152.5,81,0,0,0,0.0,0.0,0.0,,3.967057223327011,100,,
"Madden, Sam",100,26023,153.5,80,0,0,0,0.0,0.0,0.0,,4.14806606318267,100,,
"Urtasun, Raquel",100,38751,137.5,86,0,0,0,0.0,0.0,0.0,,3.643498649070352,100,,
"Feng, Jiashi",100,25230,159.5,85,0,0,0,0.0,0.0,0.0,,3.384469278627096,100,,
"Jin, Yaochu",100,24568,159.0,86,0,0,0,0.0,0.0,0.0,,4.290560051511122,100,,
"Elad, Michael",100,47872,152.0,78,0,0,0,0.0,0.0,0.0,,4.592078402500047,100,,
"Paulraj, Arogyaswami",100,24541,138.5,77,0,0,0,0.0,0.0,0.0,,4.0082680230534,100,,
"Bertino, Elisa",100,14112,106.0,80,0,0,0,0.0,0.0,0.0,,4.276765885610066,100,,
"Belongie, Serge",100,79190,174.0,84,0,0,0,0.0,0.0,0.0,,3.831240502820477,100,,
"Ghahramani, Zoubin",100,32396,140.0,80,0,0,0,0.0,0.0,0.0,,4.35610645190211,100,,
"Gandomi, Amir H.",100,32330,164.0,89,0,0,0,0.0,0.0,0.0,,4.242493423927074,100,,
"Efros, Alexei A.",100,61879,163.5,83,0,0,0,0.0,0.0,0.0,,3.794374528123396,100,,
"Bach, Francis",100,28909,150.5,79,0,0,0,0.0,0.0,0.0,,4.381463038260093,100,,
"Salakhutdinov, Ruslan",100,87824,184.0,81,0,0,0,0.0,0.0,0.0,,4.374754922541112,100,,
"Gross, M.",100,14144,108.0,84,0,0,0,0.0,0.0,0.0,,3.902111361399304,100,,
"Letaief, Khaled Ben",100,25898,118.5,78,0,0,0,0.0,0.0,0.0,,4.133372943440271,100,,
"Itoh, Tatsuo",100,23899,134.0,83,0,0,0,0.0,0.0,0.0,,4.211498186356947,100,,
"Zuo, Wangmeng",100,35373,170.0,85,0,0,0,0.0,0.0,0.0,,3.493631746682716,100,,
"Liao, Xiao Feng",100,13579,102.5,78,0,0,0,0.0,0.0,0.0,,3.944365984092502,100,,
"Ma, Wei Ying",100,19812,109.5,78,0,0,0,0.0,0.0,0.0,,3.683239882627404,100,,
"McCallum, Andrew",100,24278,142.5,79,0,0,0,0.0,0.0,0.0,,4.130864458873025,100,,
"Xing, Eric",100,19404,123.5,81,0,0,0,0.0,0.0,0.0,,3.675678839328445,100,,
"Weston, Jason",100,55221,162.0,81,0,0,0,0.0,0.0,0.0,,4.053582939093126,100,,
"Keogh, Eamonn J.",100,25896,131.5,79,0,0,0,0.0,0.0,0.0,,4.174908097411211,100,,
"Gong, Shaogang",100,21676,129.5,79,0,0,0,0.0,0.0,0.0,,3.605229413895104,100,,
"Perrig, Adrian",100,32763,188.5,76,0,0,0,0.0,0.0,0.0,,4.177979846243128,100,,
"Pietikäinen, Matti",100,51743,144.5,78,0,0,0,0.0,0.0,0.0,,3.994767653163241,100,,
"Mendel, Jerry M.",100,33545,147.0,77,0,0,0,0.0,0.0,0.0,,4.675138136067382,100,,
"Xu, Lida",100,25470,110.0,78,0,0,0,0.0,0.0,0.0,,4.328388470250393,100,,
"Alon, Noga",100,16039,106.0,80,0,0,0,0.0,0.0,0.0,,4.608945027283961,100,,
"Lu, Huchuan",100,29461,163.5,89,0,0,0,0.0,0.0,0.0,,3.429134607923411,100,,
"Low, Steven H.",100,23555,120.0,77,0,0,0,0.0,0.0,0.0,,4.323929731567407,100,,
"Kruegel, Christopher",100,20048,128.5,87,0,0,0,0.0,0.0,0.0,,3.59332215123647,100,,
"Govindan, Ramesh",100,24799,124.0,76,0,0,0,0.0,0.0,0.0,,3.779676438168936,100,,
"Mirjalili, Seyedali",100,73179,203.5,95,0,0,0,0.0,0.0,0.0,,4.741315073199967,100,,
"Katz, Randy",100,28855,114.0,76,0,0,0,0.0,0.0,0.0,,4.090400514977309,100,,
"Coello Coello, Carlos A.",100,27119,132.5,79,0,0,0,0.0,0.0,0.0,,4.59217167567262,100,,
"Giles, Lee",100,20202,119.5,78,0,0,0,0.0,0.0,0.0,,3.794536511417876,100,,
"Harman, Mark",100,17406,108.5,76,0,0,0,0.0,0.0,0.0,,4.26492797001136,100,,
"Theobalt, Christian",100,17538,124.0,82,0,0,0,0.0,0.0,0.0,,3.319646683731839,100,,
"Tarjan, Robert E.",100,29288,171.5,82,0,0,0,0.0,0.0,0.0,,4.420764080642176,100,,
"Aggarwal, Charu C.",100,23164,133.0,78,0,0,0,0.0,0.0,0.0,,4.528838925657172,100,,
"Sangiovanni-Vincentelli, Alberto L.",100,15290,119.5,80,0,0,0,0.0,0.0,0.0,,4.109986604059923,100,,
"Trivedi, Kishor",100,15138,108.5,79,0,0,0,0.0,0.0,0.0,,4.249999389135595,100,,
"Liu, Yunhao",100,20044,109.0,75,0,0,0,0.0,0.0,0.0,,3.940254317851012,100,,
"Saad, Walid",100,24238,127.0,86,0,0,0,0.0,0.0,0.0,,3.696165011460133,100,,
"Benbasat, Izak",100,35479,164.5,77,0,0,0,0.0,0.0,0.0,,3.953778102624817,100,,
"Heng, Pheng Ann",100,23585,143.0,86,0,0,0,0.0,0.0,0.0,,3.504779467245895,100,,
"Karger, David",100,27815,111.5,74,0,0,0,0.0,0.0,0.0,,4.253100397949312,100,,
"Chew, Weng Cho",100,15440,99.0,77,0,0,0,0.0,0.0,0.0,,4.311627149921504,100,,
"Chen, Hsinchun",100,18809,100.5,75,0,0,0,0.0,0.0,0.0,,4.291426813242543,100,,
"Hong, Wei",100,15303,104.0,79,0,0,0,0.0,0.0,0.0,,3.895088360047712,100,,
"Kohli, Pushmeet",100,42909,134.5,82,0,0,0,0.0,0.0,0.0,,3.458655998028228,100,,
"Deng, Yong",100,13253,107.5,80,0,0,0,0.0,0.0,0.0,,4.280502412514247,100,,
"Zhang, Yu Dong",100,14647,118.5,83,0,0,0,0.0,0.0,0.0,,3.66430977573551,100,,
"Navab, Nassir",100,27637,119.0,80,0,0,0,0.0,0.0,0.0,,3.968754566193517,100,,
"Vahdat, Amin",100,21520,109.5,74,0,0,0,0.0,0.0,0.0,,3.742491305690535,100,,
"Yao, Yiyu",100,20077,126.5,77,0,0,0,0.0,0.0,0.0,,4.647426231709273,100,,
"Abdelzaher, Tarek",100,17302,100.5,73,0,0,0,0.0,0.0,0.0,,3.867165399735526,100,,
"Schmidhuber, Jürgen",100,123350,179.0,76,0,0,0,0.0,0.0,0.0,,4.824739072317128,100,,
"Larsson, Erik G.",100,31678,123.5,78,0,0,0,0.0,0.0,0.0,,4.25522830900722,100,,
"Kahraman, Cengiz",100,16253,117.0,80,0,0,0,0.0,0.0,0.0,,4.110881439082428,100,,
"Matas, Jiří",100,34611,151.0,75,0,0,0,0.0,0.0,0.0,,3.661177078387899,100,,
"Ren, Kui",100,24614,134.0,78,0,0,0,0.0,0.0,0.0,,3.556455652174123,100,,
"Hanrahan, Pat",100,19223,115.0,73,0,0,0,0.0,0.0,0.0,,3.974354397280602,100,,
"Amari, Shun Ichi",100,21186,110.0,76,0,0,0,0.0,0.0,0.0,,4.565879596427506,100,,
"Luo, Jiebo",100,21159,119.0,83,0,0,0,0.0,0.0,0.0,,3.827865865685092,100,,
